trial_directory,provider,model,seed,turn,condition,action,policy_regret_ms,latency_ms,success
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134950.662521Z-C-5e574e1789fa431bac1514df19559964,anthropic,claude-sonnet-5,10,2,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134952.307358Z-A-e0cf51bc4e7c49dc9a8a161ef58296a7,anthropic,claude-sonnet-5,10,3,A,tool_alpha,8453.810000000001,4200.0,False
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134955.317629Z-B-3e0071fe397a4d7a98713057c06ef22e,anthropic,claude-sonnet-5,10,3,B,tool_alpha,8453.810000000001,4200.0,False
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T134943.781943Z-C-0b272c256240478c940fe39f2ab42d85,anthropic,claude-sonnet-5,10,3,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142534.348807Z-A-2d908f6f7d8b4170a6e191d65ee2a9c5,anthropic,claude-sonnet-5,11,0,A,tool_alpha,80.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142519.103526Z-B-37737e893180404f9bf313ea52195dc3,anthropic,claude-sonnet-5,11,0,B,tool_alpha,80.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142521.417111Z-C-b4c419ae94cd4fa8bf7d51c15488c901,anthropic,claude-sonnet-5,11,0,C,tool_beta,0.0,100.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142535.773540Z-A-14999d55d05143a7b2b794877afec81b,anthropic,claude-sonnet-5,11,1,A,tool_alpha,17002.72,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142542.409197Z-B-9a206f53e5844cd6ac7dba877e793720,anthropic,claude-sonnet-5,11,1,B,tool_alpha,17002.72,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142557.672017Z-C-34260682fc294260822f92142532fca2,anthropic,claude-sonnet-5,11,1,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142550.939342Z-A-a8f392068c1c49ceba517f4c8b24ed08,anthropic,claude-sonnet-5,11,2,A,tool_alpha,18542.715555555555,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142552.258758Z-B-1104c40d305b40ac900f1bf44c098d2d,anthropic,claude-sonnet-5,11,2,B,tool_alpha,18542.715555555555,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142556.221997Z-C-1699470041744abf9c4b7048312c8088,anthropic,claude-sonnet-5,11,2,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142510.260505Z-A-f2b9d88342144867afcd8e9bf8b8262b,anthropic,claude-sonnet-5,11,3,A,tool_alpha,9491.18,4200.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142603.605437Z-B-2825e0979c214ff68f64d76aeddac5c0,anthropic,claude-sonnet-5,11,3,B,tool_alpha,9491.18,4200.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142546.920439Z-C-d3985791f81c4712b04cad4e68dbf0f1,anthropic,claude-sonnet-5,11,3,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142526.710703Z-A-6d4abf76ea164a3f98be844bd2892f39,anthropic,claude-sonnet-5,12,0,A,tool_alpha,0.0,100.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142545.284573Z-B-b734262365644f30be60db6f1fde600c,anthropic,claude-sonnet-5,12,0,B,tool_alpha,0.0,100.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142600.590582Z-C-aa2cf536cac6450bb638d07631436169,anthropic,claude-sonnet-5,12,0,C,tool_alpha,0.0,100.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142539.245429Z-A-215c788c8d624c37bf0e2769ec802c1d,anthropic,claude-sonnet-5,12,1,A,tool_alpha,5254.133333333333,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142529.445737Z-B-b1cb8835db8f463193f77f1be7388c57,anthropic,claude-sonnet-5,12,1,B,tool_alpha,5254.133333333333,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142602.071064Z-C-aaad8c886cf64706a1c91b1256f0f890,anthropic,claude-sonnet-5,12,1,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142559.134577Z-A-8c7ef64f0c97430fb89828730710aa49,anthropic,claude-sonnet-5,12,2,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142513.015453Z-B-649ed8d2830e48f6b1eb4ff9485d4b7f,anthropic,claude-sonnet-5,12,2,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142531.197767Z-C-ca9ad530daef4574833db9ac98b3e640,anthropic,claude-sonnet-5,12,2,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142605.650360Z-A-d2abc82f81884a95806f5e0cef00bff8,anthropic,claude-sonnet-5,12,3,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142553.787020Z-B-5b8b5f32491a44a7a09e081cd979ba14,anthropic,claude-sonnet-5,12,3,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142517.806942Z-C-47c1dd839fb541e5b60dae3f64ba439e,anthropic,claude-sonnet-5,12,3,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142528.191586Z-A-3d4e10131f0d4822956443b53150739a,anthropic,claude-sonnet-5,13,0,A,tool_alpha,0.0,100.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142508.803154Z-B-8101cf35856c48869b9bc496e7e4695d,anthropic,claude-sonnet-5,13,0,B,tool_alpha,0.0,100.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142549.458660Z-C-9d08f59f7a5d4399976eb35764ac0983,anthropic,claude-sonnet-5,13,0,C,tool_alpha,0.0,100.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142507.194348Z-A-fdbda8fdbb4c480c91c73d60c6b68c32,anthropic,claude-sonnet-5,13,1,A,tool_alpha,16920.8,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142516.230550Z-B-8a8fd478c9f0475ba1facaab5a03996c,anthropic,claude-sonnet-5,13,1,B,tool_alpha,16920.8,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142537.349716Z-C-7f403b34fffe4b1f8269fcab95a1a1b7,anthropic,claude-sonnet-5,13,1,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142514.611750Z-A-87cf8a86c5a4424cbd482c3fdb6100e0,anthropic,claude-sonnet-5,13,2,A,tool_alpha,19611.876666666667,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142525.166478Z-B-bc645d67b1ce442eb075213945cda5dd,anthropic,claude-sonnet-5,13,2,B,tool_alpha,19611.876666666667,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142511.548860Z-C-b1a7bffc09674ef4a95a806dca8bb5c8,anthropic,claude-sonnet-5,13,2,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142543.823165Z-A-73c4c11db01f4c2d811e134e6146b040,anthropic,claude-sonnet-5,13,3,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142540.789972Z-B-0f2f8e181d54419d946f84955708ab2c,anthropic,claude-sonnet-5,13,3,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142523.230581Z-C-58c97a4d198046b6995364051b5dc70b,anthropic,claude-sonnet-5,13,3,C,wait,1812.0499999999993,500.0,False
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131502.504091Z-A-6a1e89d3fd6c41e4923c2a0d02577d18,google,gemini-3.7-flash,8,0,A,tool_alpha,80.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131551.038695Z-B-ead3f2c366094e21bd3250b466f607eb,google,gemini-3.7-flash,8,0,B,tool_alpha,80.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131528.324463Z-C-59dfe2daf40c42ba86555c1d2e281d49,google,gemini-3.7-flash,8,0,C,tool_beta,0.0,100.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131505.329030Z-A-15dc5ac87d3140238c1e20692f5f0334,google,gemini-3.7-flash,8,1,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131511.001104Z-B-6e22a8a0e1d34b64b58bf4bbde904235,google,gemini-3.7-flash,8,1,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131557.858875Z-C-20815d5fb1bd4b28895869ae5b40459e,google,gemini-3.7-flash,8,1,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131508.947461Z-A-7b3bdf5a8bab49978eafd948f23a7e5b,google,gemini-3.7-flash,8,2,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131537.341886Z-B-c1032ffc3e49443ea665087f0342cdce,google,gemini-3.7-flash,8,2,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131519.978180Z-C-9c973ee17ca64cae9c0a3b855a9e1c2d,google,gemini-3.7-flash,8,2,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131541.098973Z-A-fe2a67c9733e42b59c1cd2e129bbaffb,google,gemini-3.7-flash,8,3,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131546.043796Z-B-8047be9d0609443e86e528ef1044f74b,google,gemini-3.7-flash,8,3,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seed8/api-preflight/toolroute/20260830T131548.501686Z-C-0d45014ed5324fcaa357b5bc84a56633,google,gemini-3.7-flash,8,3,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135231.535908Z-A-4de2a585212c4ff494ab6361062b7d44,google,gemini-3.7-flash,9,0,A,tool_alpha,80.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135349.880892Z-B-926fc12dd3fc48e7973d87bc996dfcfb,google,gemini-3.7-flash,9,0,B,tool_alpha,80.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135304.720746Z-C-7b4d686e3d1e4b0c92fceb8628267f41,google,gemini-3.7-flash,9,0,C,tool_beta,0.0,100.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135147.196952Z-A-b2c1121196bb4310a0b280bee19fcaea,google,gemini-3.7-flash,9,1,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135308.300700Z-B-22d264541daf427a9de3cf4939a8d3bb,google,gemini-3.7-flash,9,1,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135157.233625Z-C-06ca33e3145b42449f785c831426a80e,google,gemini-3.7-flash,9,1,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135112.892171Z-A-1b59f4e071594eab8d217d520b255977,google,gemini-3.7-flash,9,2,A,tool_alpha,10978.310000000001,4200.0,False
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135036.158511Z-B-b3f1d87bf9ee4a1d9f33328806107de3,google,gemini-3.7-flash,9,2,B,tool_alpha,10978.310000000001,4200.0,False
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135406.145460Z-C-172eb58004ca4f1bb86c0c2c4c7c7a71,google,gemini-3.7-flash,9,2,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135016.202768Z-A-571653ca49974e62a907848d4a3e8d74,google,gemini-3.7-flash,9,3,A,tool_alpha,3462.6500000000005,4200.0,False
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135346.574456Z-B-f212f44239bf47219176a402f68c7673,google,gemini-3.7-flash,9,3,B,tool_alpha,3462.6500000000005,4200.0,False
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135433.772445Z-C-86f3fb64c2d3413b9c26198b15759289,google,gemini-3.7-flash,9,3,C,wait,5816.47,500.0,False
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135302.487087Z-A-b605a442ae5643398e46898e2f9f65ab,google,gemini-3.7-flash,10,0,A,tool_alpha,3413.333333333333,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135048.022218Z-B-647e1a5eb3c54bc5a611984fe45c72eb,google,gemini-3.7-flash,10,0,B,tool_alpha,3413.333333333333,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135403.291221Z-C-62cd85c8c7614878b771265b875c3ec8,google,gemini-3.7-flash,10,0,C,tool_beta,0.0,100.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135027.048583Z-A-058d1433acc6457ea09a7b89a91eeac8,google,gemini-3.7-flash,10,1,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135053.439722Z-B-9e805a9a345940e1a05d6ed60bd04d42,google,gemini-3.7-flash,10,1,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135206.043333Z-C-58020e9d755f4997a115fd5b64a8b7d3,google,gemini-3.7-flash,10,1,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135407.547535Z-A-b577aa392b6d4a1eba5b38d11b69c879,google,gemini-3.7-flash,10,2,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135451.210018Z-B-0f4a2b2cd5854be4b902b0de145bcc15,google,gemini-3.7-flash,10,2,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135348.228114Z-C-02df4387ecea44699913ca6641110da2,google,gemini-3.7-flash,10,2,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135102.250358Z-A-51b38d83c0ca40fdb9ff19fc1bbe39d4,google,gemini-3.7-flash,10,3,A,tool_alpha,8453.810000000001,4200.0,False
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135339.756099Z-B-c16e7460220f44fcaceaf4fabdd1b9f1,google,gemini-3.7-flash,10,3,B,tool_alpha,8453.810000000001,4200.0,False
experiments/api-paper-v1.0-seeds9-10/api-preflight/toolroute/20260830T135217.346188Z-C-431e2e5a6cc7481c98e209dbe60e0167,google,gemini-3.7-flash,10,3,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142822.848808Z-A-29b91d198c9242519d3d904417af0412,google,gemini-3.7-flash,11,0,A,tool_alpha,80.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142740.583806Z-B-e9585fb09eba45c0be9965d30295e291,google,gemini-3.7-flash,11,0,B,tool_alpha,80.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142915.903173Z-C-050124a2e97b44638c547ee16d6e2f5b,google,gemini-3.7-flash,11,0,C,tool_beta,0.0,100.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142908.948829Z-A-c0132af379174a74a999e6535ecc1183,google,gemini-3.7-flash,11,1,A,tool_alpha,17002.72,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142905.649022Z-B-b1c3b5efc2064ac39ea9f7ff317a4732,google,gemini-3.7-flash,11,1,B,tool_alpha,17002.72,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142623.206034Z-C-18bd42c71ad548279aec5de6382a62f0,google,gemini-3.7-flash,11,1,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142756.000533Z-A-ca94105ba381414e9fa9a954ec76b948,google,gemini-3.7-flash,11,2,A,tool_alpha,18542.715555555555,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142738.046311Z-B-aadc2887b7754449a03e4fd0b384a9cc,google,gemini-3.7-flash,11,2,B,tool_alpha,18542.715555555555,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142819.645227Z-C-0f382b243f444492b3030316baeeefb6,google,gemini-3.7-flash,11,2,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142627.451519Z-A-a0d27dfe4dec47ef9e518ed01f0123b0,google,gemini-3.7-flash,11,3,A,tool_alpha,9491.18,4200.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142825.554782Z-B-f5e206db1ef14ec0ae892b8c1b2d270d,google,gemini-3.7-flash,11,3,B,tool_alpha,9491.18,4200.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142801.064617Z-C-99127e15a69843ba8f1ae524d6a2ae49,google,gemini-3.7-flash,11,3,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142821.437046Z-A-84bc77c02d1648ca8b65f547d1245cc9,google,gemini-3.7-flash,12,0,A,tool_alpha,0.0,100.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142809.642660Z-B-4da9572f701048378867c9d87f512fd6,google,gemini-3.7-flash,12,0,B,tool_alpha,0.0,100.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142644.674590Z-C-533cd6ad0b75438e8bdfd56d86b6345e,google,gemini-3.7-flash,12,0,C,tool_alpha,0.0,100.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T143039.988726Z-A-c4ac1629f44340f9a685f17e7f2943a9,google,gemini-3.7-flash,12,1,A,tool_alpha,5254.133333333333,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142753.889976Z-B-2cdd06ec365b45c584b7b6998da857e4,google,gemini-3.7-flash,12,1,B,tool_alpha,5254.133333333333,4200.0,False
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142836.996668Z-C-90e059b5aca9481ab4d038f7e8ed4f3f,google,gemini-3.7-flash,12,1,C,tool_beta,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142653.854902Z-A-d9fc85f41b674b6d86d30ea04bf254ac,google,gemini-3.7-flash,12,2,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T143006.197780Z-B-5ca53af9df1c4f1c9fcafa98e83649f6,google,gemini-3.7-flash,12,2,B,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142701.480943Z-C-9e8dc7ad6a66486cab12e3013f679926,google,gemini-3.7-flash,12,2,C,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142656.036085Z-A-c427bf6ec3824846b7aaa6db143c0cf4,google,gemini-3.7-flash,12,3,A,tool_alpha,0.0,180.0,True
experiments/api-paper-v1.0-seeds11-13/api-preflight/toolroute/20260830T142957.579736Z-B-ad4f2e21c72b4d37a117bd73f4ba185e,google,gemini-3.7-flash,12,3,B,tool_alpha,0.0,180.0,True
